permit_no,contractor,permit_type,blocks,n_blocks,start_date,end_date,permit_type_std,group
PC/CPA/0000164/04-24R,GOIL Upstream Limited,Contractor Party to Petroleum Agreement Certificate of Registration,Deepwater Cape Three Points,1,2024-04-03,2025-04-02,Contractor Party to Petroleum Agreement Certificate of Registration,GOIL
PC/CPA/0000165/03-24R,Woodfields Upstream Limited,Contractor Party to Petroleum Agreement,Cape Theree Points Block 4,1,2024-03-27,2025-03-26,Contractor Party to Petroleum Agreement,WOODFIELDS
PC/CPA/0000169/10-24R,Amni International Petroleum Development Company (Ghana) Limited,Registration Permit,Central Tano Block,1,2024-10-21,2025-10-20,Registration Permit,AMNI
PC/CPA/0000186/11-25R,Heritage Exploration and Production Ghana Ltd,Registration Permit,Offshore South West Tano Contract Area,1,2025-11-25,2026-11-24,Registration Permit,HERITAGE
PC/CPA/0000187/12-25R,Petrosa Ghana Limited,Registration Permit,Deepwater Tano Block,1,2025-12-10,2026-12-10,Registration Permit,PETROSA
PC/CPA/0000188/12-25R,Petrosa Ghana Limited,Registration Permit,West Cape Three Points Block,1,2025-12-10,2026-12-09,Registration Permit,PETROSA
PC/CPA/0000189/12-25R,GNPC Exploration and Production Company Limited,Registration Permit,West Cape Three Points Block,1,2025-12-18,2026-12-17,Registration Permit,GNPC
PC/CPA/0000190/12-25R,GNPC Exploration and Production Company Limited,Registration Permit,Deepwater Tano Block,1,2025-12-18,2026-12-17,Registration Permit,GNPC
PC/CPA/0000191/01-26R,Vitol Upstream Tano Limited,Registration Permit,Cape Three Points Block 4,1,2026-01-21,2027-01-20,Registration Permit,VITOL
PC/CPA/0000192/01-26R,Vitol Upstream Ghana Limited,Registration Permit,Cape Three Points Block 4,1,2026-01-19,2027-01-18,Registration Permit,VITOL
PC/CPA/0000193/10-25R,Amni International Petroleum Development Company Limited,Registration Permit,Central Tano Block,1,2025-10-21,2027-10-20,Registration Permit,AMNI
PC/CPA/0000194/04-26R,Goil Upstream Ltd,Registration Permit,Deepwater Cape Three Points Contract Area,1,2026-04-03,2027-04-02,Registration Permit,GOIL
